id;title;description;image;image_content_type;taken
1;Yuan Renminbi Centers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-30T14:11:38
2;Usability South Dakota envisioneer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-30T14:07:44
3;Public-key;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-30T08:43:39
4;Bahamian Dollar Investment Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-29T18:30:57
5;Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-30T05:07:36
6;Tuna;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-29T20:23:01
7;convergence;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-30T09:31:18
8;Georgia Industrial;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-29T18:17:51
9;Views e-enable Communications;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-29T21:03:28
10;archive Georgia Aruba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2019-10-29T15:26:39
